model,alpha,horizon_days,asset,weight,component_ES,share_of_ES
Gaussian_MC,0.95,10,SPY,0.14285714285714285,0.012127683642431199,0.20399949278436252
Gaussian_MC,0.95,10,EFA,0.14285714285714285,0.0099932326598708,0.16809594098886754
Gaussian_MC,0.95,10,AGG,0.14285714285714285,0.0010564943275981008,0.01777126723569145
Gaussian_MC,0.95,10,GLD,0.14285714285714285,0.003957476874212135,0.06656862916678773
Gaussian_MC,0.95,10,USO,0.14285714285714285,0.019099948594586722,0.3212798041557418
Gaussian_MC,0.95,10,TLH,0.14285714285714285,0.002452615222286921,0.04125538528983581
Gaussian_MC,0.95,10,BTC,0.14285714285714285,0.010762126111300922,0.18102948037871255
StudentT_MC_df6,0.95,10,SPY,0.14285714285714285,0.015845716295942,0.20662500267838083
StudentT_MC_df6,0.95,10,EFA,0.14285714285714285,0.013101299509170192,0.1708383512372882
StudentT_MC_df6,0.95,10,AGG,0.14285714285714285,0.0013077234194794453,0.0170524544303321
StudentT_MC_df6,0.95,10,GLD,0.14285714285714285,0.005250821134328374,0.06846966780682227
StudentT_MC_df6,0.95,10,USO,0.14285714285714285,0.023713734168284758,0.3092223976830302
StudentT_MC_df6,0.95,10,TLH,0.14285714285714285,0.0029355153604864685,0.038278539000365604
StudentT_MC_df6,0.95,10,BTC,0.14285714285714285,0.014533471252255847,0.18951358716378014
Bootstrap_MC,0.95,10,SPY,0.14285714285714285,0.011016046725592192,0.18697286225497464
Bootstrap_MC,0.95,10,EFA,0.14285714285714285,0.00942531282345796,0.15997369656724256
Bootstrap_MC,0.95,10,AGG,0.14285714285714285,0.0011682845445232409,0.019829028567053132
Bootstrap_MC,0.95,10,GLD,0.14285714285714285,0.0028846309863017157,0.04896018739692015
Bootstrap_MC,0.95,10,USO,0.14285714285714285,0.020929114590915784,0.35522511450817357
Bootstrap_MC,0.95,10,TLH,0.14285714285714285,0.0027684329830765103,0.04698798504588469
Bootstrap_MC,0.95,10,BTC,0.14285714285714285,0.010726068385152105,0.18205112565975193
